question,question_number,response_category,category,response
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,law enforcement presence where possible
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,police/fire community involement
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"?education on distracted driving: teens texting, adults texting, distracted  etc."
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"relearning rules of the road for walkers & bicycles: walking against traffic, riding bicycles with  traffic."
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,accident prevention
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,better marked cross walks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,Better patrol
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,better policing of our communities for drugs 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,better prepared for disaster (training)  
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,bigger fire dept 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,bigger police dept 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,car seat safety 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,car sits and carpool 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,child molesters away from communities w/children 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,child safety education
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,computer security 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,cops in schools
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"cops who can do their jobs right, more educated people "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,don't drink & drive 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,don't text & drive 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,educating the community on how to protect and serve our environment 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,enforcement of stricter gun laws&gun safety.
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,faster EMT response times
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,Fire prevention
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,good police protection
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,gun safety
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,Help with carseats
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,identify theft prevention courses 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,increase law enforcement patrols
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,light or caution-­?waynesville rd & rt 350 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"Local shelters for disaster, violence (i.e. ""shooter"" scenarios)if these are available currently then better educate community"
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,more crosswalk lights
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,more crosswalks/sidewalks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,more fire alarms give away
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,more fire service help
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,more police/fire fighter classes
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,more police
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,More police & fire services
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety," more police patrols at parks, etc"
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety, more traffic lights
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,more training of polices officers of the abuse of power!! 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,motorcycle safety classes
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,neighborhood watch
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,patrol walking biking trails
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"people needs to go 2 jail 4 more stuff, sides the judge slap them on the hand "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,police
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,police
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,Police making hourly rounds in the parks 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,Police officers controlling the parks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"police officers, we need more people educated "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"police, firemen"
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,ppl don't look out for others unless related
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"safety classes for children, "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,retesting every 10 years for drivers license
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,road congestion at 22&3 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,road congestion on 22& 3
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,road safety-­?drivers aren't aware of pedestrians 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,safe parks(used needles are found in the parks & play grounds) 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,safe places to walk
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,safe places to work 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,safety
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,safety free classes 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,seatbelt enforcement
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,"self defense classed, "
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,gun safety 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,sidewalks 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,sidewalks 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,sidewalks
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,take the drug heads off the streets
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,teach children to not play in the street
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,teach kids about safety at night
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,teaching how to protect yourself
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,teen safety courses 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,tornado shelters
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,1,Public Safety,traffic safety-­?seat belt use/distracted driving
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,car seat and seat belt enforcement
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,fire issures addressed in my particular mobile home park. Ie..open flame grills due to close  proximity.
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,have more security on streets
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,more caution lights
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,more police
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,more police on the streets
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,neighborhood watch programs 
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,no cell phone usage while driving enforced 
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,public safety
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,strict DUI laws 
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,strict gun laws
"What other issues or services would make your community a healthier, better place to live?",6,1,Public Safety,trauma & disaster training program
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,?in mental health services especially for children
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,parenting services
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,a service for abuse victims
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,a service to help the homeless
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,better homeless care(or more options)
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,"eye services, dental services "
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,"medical, dentist"
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,greater access to low income housing
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,HEAP
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,"helping those of us who work, be able to get more help"
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,homeless taking care of
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,Hospital - doctors
"What services would make your community a healthier, better place to live?",1,2,Underserved Services," hospitals, clinics "
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,Human Services
"What services would make your community a healthier, better place to live?",1,2,Underserved Services, Increased mental health services
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,Insurance
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,later hours for people who are trying to have jobs
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,lower income for familys 
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,lower the food stamp level
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,make services easier to apply for & receive
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,mental health 
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,more daily food pantry
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,more food services for the hungry
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,more food stores
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,more grocery stores in under?served areas 
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,more help for the homeless
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,more help for the homeless
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,more housing for homeless/ low income families 
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,"more homeless help, "
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,new parents support
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,offices in Franklin or closer to
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,shelters
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,therapies for children with disabilities-­?activities too
"What services would make your community a healthier, better place to live?",1,2,Underserved Services,emergency vet clinics 
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,a class to help people be better parents
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,better facilities for disable people
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,bus-?advertising how to help disabled
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,child therapy
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,classed for disabled people to help get back feeling part of community
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,clinics in schools
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,emergency veterinarian hospital
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,help in dealing/helping child with disabilities
"What classes/education programs or services would make your community a healthier, better place to live?",2,2,Underserved Services,programs to help get good food to people that re disable
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,counseling
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,mental health
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,affordable counseling
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,assistance with household chores
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,counseling
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,dealing with the negative aspect of life-­?abuse mental & physical
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,free pantry
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,good public services
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,health insur. Available to those of us who work
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,help for people who can't help themselves
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,help for women
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,help homeless people
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,homeless shelter
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,housing
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,housing
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,improved low income RX
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,"mental health access (lease of etc), abortion clinic"
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,more advertisements around community not just in Lebanon Health Fairs.
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,more parenting classed for young moms
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,more programs to help people with different types of disabilities
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,parent support groups for children w/disabilities
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,place where parents child are taught together how to be a family
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,shelter for the homeless
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,vets
"What community health resources or services would make your community a healthier, better place to live?",3,2,Underserved Services,working with the homeless
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,"food pantry, help w/electric bills, etc."
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,home buyer help becoming homeowners
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,assistance with catastrophic illnesses
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,Better low income housing for all ages 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,billing services 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,budgeting classes or money management classes
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,cleaning services
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,clothing drives
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,day care centers for low income 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,dentistry for children
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,drug testing for food stamps
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,early childhood ed. & daycare subsidised 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,Economically sound dental services for under privileged
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,Financial supplement to be used for free dinners/lunches provided by private charities & churches. Could be in the form of grants
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,food banks 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,food pantry 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,food pantry
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,health care
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,health fairs-­?free to community 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,health insurance
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,"help build a house, tree in community "
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,"help pay bills like electric, rent"
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,help people that are disable to keep in their homes 60 or younger repair their homes 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,help with large appliance acquisition for low income families 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,help with rent
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,helping the working person more with food stamps & insur.
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,hunger(especially in children) not acceptable..(ex) blessings in a back pack in more area?  
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,"I have a hard enough time getting help w/income bracket, make to much for assistance but not enough to take care of all bills-­?food"
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,increased knowledge of job & family services 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,"invest in working opportunities, not hand outs"
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,low taxes
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,lower taxes
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,medication assistance programs
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,mental and social counseling 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more affordable housing
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more clinics based on income 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more dental services
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more food pantries 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more Goodwills
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,"more help for homeless/jobless, food pantry, assistance for families"
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more low and better low income housing for all ages
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more low income housing apartments with less restrictions! The waiting lists for low income etc. to remain open all year!
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more low-­?income housing
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,more paper/diaper goods help for those needed more parks
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,place that would help for free
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,preventive care
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,reduced childcare. I make too much for programs but not enough for groceries 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,school supplies or clothes
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,Medical services
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,somewhere for the homeless to stay instead of on the streets 
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,soup kitchens for the homeless
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,start up home
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,take humana insurance
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,tax services
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,"the prises of items are not going down unless on sale, in 1965 I got tab & it costs .25, go figure"
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,to help the underpriviledged with out enabling them
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,vouchers for clothing or home supplies not just food stamps but help with other things
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,welfare people take month drug testing-no benefits if positive
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,WIC
"What economic resources or services would make your community a healthier, better place to live?",4,2,Underserved Services,WIC
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,2,Underserved Services,Babysitting
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,2,Underserved Services,better housing
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,2,Underserved Services,help with clothing 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,2,Underserved Services,housing
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,2,Underserved Services,school supplies 
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,2,Underserved Services,medical services
"What safety/environmental resources or services would make your community a healthier, better place to live?",5,2,Underserved Services,"stop smoking help, drug help "
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,a homeless shelter that would help educate people for a better life 
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,a pet food pantry & other pet services for low income people
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,better resouces for the homeless-­?adults & especially children 
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,dentist-­?doctors
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,do drug testing for food stamps people
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,"food pantries, "
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,"free daycare, "
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,help for the indigent to acquire vital records(birth certificates) 
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,housing ins
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,"just helping the working person more, food stamps, health insur., daycare "
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,less government services 
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,more bilingual people at the different agencies 
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,more excessible programs thought county 
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,place to help people
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,smoking cessation classes/services
"What other issues or services would make your community a healthier, better place to live?",6,2,Underserved Services,"there are a lot of homeless people in Lebanon that I would like to see get off of the streets & get the support they need whether that's drugs/alcohol, mental health etc. to be  rehabilitated"
"What services would make your community a healthier, better place to live?",1,3,Environmental,better labeling of area around WCH better landscaping
"What services would make your community a healthier, better place to live?",1,3,Environmental,better water
"What services would make your community a healthier, better place to live?",1,3,Environmental,cheaper gas
"What services would make your community a healthier, better place to live?",1,3,Environmental,clean up
"What services would make your community a healthier, better place to live?",1,3,Environmental,clean  up trash
"What services would make your community a healthier, better place to live?",1,3,Environmental,clean up trash
"What services would make your community a healthier, better place to live?",1,3,Environmental,clean water
"What services would make your community a healthier, better place to live?",1,3,Environmental,cleaned up public housing 
"What services would make your community a healthier, better place to live?",1,3,Environmental,cleaner streets
"What services would make your community a healthier, better place to live?",1,3,Environmental,cleaniness
"What services would make your community a healthier, better place to live?",1,3,Environmental,community garden
"What services would make your community a healthier, better place to live?",1,3,Environmental,don't litter
"What services would make your community a healthier, better place to live?",1,3,Environmental,focus on recycle
"What services would make your community a healthier, better place to live?",1,3,Environmental, garbage cleanup
